-,-,-
-60, -95, 498
-60, -95, 498
-57, -85, 326
0, -30, 104
24, 76, 122
24, 76, 122
1, 142, 149
-56, 195, 167
-64, 99, 88
-64, 99, 88
-23, 127, 176
25, 218, 274
12, 303, 410
12, 303, 410
-6, 337, 582
-17, 424, 787
-1, 397, 845
-1, 397, 845
51, 536, 979
141, 840, 1394
176, 822, 1635
197, 881, 1798
197, 881, 1798
134, 808, 1930
5, 788, 1998
-81, 695, 1998
-126, 545, 1887
-139, 443, 1741
-145, 428, 1588
-146, 341, 1510
-146, 341, 1510
-107, 328, 1497
22, 315, 1415
195, 335, 1288
292, 393, 1285
458, 483, 1244
612, 518, 1172
710, 521, 1119
710, 521, 1119
707, 585, 1059
671, 615, 897
627, 476, 756
577, 370, 706
452, 335, 636
452, 335, 636
252, 261, 617
122, 319, 575
-15, 379, 673
-155, 449, 790
-373, 436, 796
-373, 436, 796
-485, 478, 830
-541, 421, 809
-626, 505, 935
-641, 566, 1084
-604, 445, 1099
-531, 344, 1110
-453, 279, 1138
-453, 279, 1138
-408, 175, 1110
-320, 88, 1065
-214, 93, 1024
-148, 147, 1030
-121, 193, 1038
-119, 150, 988
-135, 195, 1022
-95, 278, 1046
-51, 249, 997
-51, 249, 997
-37, 233, 981
-20, 207, 998
-24, 231, 1033
-1, 263, 1037
-1, 263, 1037
-8, 250, 1010
-23, 294, 1019
